Daily Dashboard
"October 1, 2024 - October 26, 2025"
Day,Campaign,Campaign status,Currency code,Cost,Avg. CPM,CTR
2024-11-10,Pmax_Rings,Paused,INR,2994.45,115.02,1.07%
2024-11-10,Pmax_Earrings,Paused,INR,1697.34,185.50,1.56%
2024-11-10,BOF-YT-ALL PRODUCTS,Removed,INR,626.13,24.63,4.75%
2024-11-10,Pmax_necklaces,Paused,INR,1748.12,99.83,1.08%
2024-11-10,DISPLAY-Remarketing,Paused,INR,507.55,40.27,1.08%
2024-11-10,TOF - Display New Customer,Paused,INR,363.64,26.76,0.94%
2024-11-11,Brand-Search,Eligible,INR,1495.39,7870.48,23.16%
2024-11-11,Pmax_Rings,Paused,INR,3494.13,112.56,1.11%
2024-11-11,Pmax_Earrings,Paused,INR,2102.99,208.98,1.41%
2024-11-11,BOF-YT-ALL PRODUCTS,Removed,INR,625.87,24.47,3.96%
2024-11-11,Pmax_necklaces,Paused,INR,2154.37,133.50,1.18%
2024-11-11,DISPLAY-Remarketing,Paused,INR,499.68,42.51,0.98%
2024-11-11,TOF - Display New Customer,Paused,INR,323.41,26.66,1.03%
2024-11-12,Brand-Search,Eligible,INR,1212.27,7871.88,33.12%
2024-11-12,Pmax_Rings,Paused,INR,3935.07,131.06,1.13%
2024-11-12,Pmax_Earrings,Paused,INR,2629.22,259.29,1.73%
2024-11-12,BOF-YT-ALL PRODUCTS,Removed,INR,623.19,26.42,4.94%
2024-11-12,Pmax_necklaces,Paused,INR,2036.96,92.37,1.22%
2024-11-12,DISPLAY-Remarketing,Paused,INR,461.91,22.37,0.98%
2024-11-12,TOF - Display New Customer,Paused,INR,315.92,20.67,0.71%
2024-11-13,Brand-Search,Eligible,INR,5228.04,29044.64,34.44%
2024-11-13,Pmax_Rings,Paused,INR,5251.66,173.52,1.08%
2024-11-13,Pmax_Earrings,Paused,INR,1370.31,130.05,1.35%
2024-11-13,BOF-YT-ALL PRODUCTS,Removed,INR,621.34,25.67,4.65%
2024-11-13,Pmax_necklaces,Paused,INR,2290.53,137.61,1.06%
2024-11-13,DISPLAY-Remarketing,Paused,INR,539.51,28.00,0.68%
2024-11-13,TOF - Display New Customer,Paused,INR,319.74,22.74,0.61%
2024-11-14,Brand-Search,Eligible,INR,2336.41,14160.09,32.12%
2024-11-14,Pmax_Rings,Paused,INR,6058.59,151.84,0.95%
2024-11-14,Pmax_Earrings,Paused,INR,1778.06,186.85,1.53%
2024-11-14,BOF-YT-ALL PRODUCTS,Removed,INR,617.25,24.88,4.81%
2024-11-14,Pmax_necklaces,Paused,INR,2107.27,137.08,1.26%
2024-11-14,DISPLAY-Remarketing,Paused,INR,424.15,28.59,1.27%
2024-11-14,TOF - Display New Customer,Paused,INR,262.48,24.86,0.80%
2024-11-15,Brand-Search,Eligible,INR,2884.41,21054.10,32.12%
2024-11-15,Pmax_Rings,Paused,INR,6367.53,117.49,0.81%
2024-11-15,Pmax_Earrings,Paused,INR,2089.06,165.86,1.42%
2024-11-15,BOF-YT-ALL PRODUCTS,Removed,INR,618.41,25.00,5.64%
2024-11-15,Pmax_necklaces,Paused,INR,2224.31,109.61,1.18%
2024-11-15,DISPLAY-Remarketing,Paused,INR,632.56,33.19,1.25%
2024-11-15,TOF - Display New Customer,Paused,INR,325.60,50.19,0.83%
2024-11-16,Brand-Search,Eligible,INR,2409.63,14174.32,33.53%
2024-11-16,Pmax_Rings,Paused,INR,7973.04,134.30,0.92%
2024-11-16,Pmax_Earrings,Paused,INR,1970.78,128.62,1.47%
2024-11-16,BOF-YT-ALL PRODUCTS,Removed,INR,617.27,30.11,5.60%
2024-11-16,Pmax_necklaces,Paused,INR,1604.83,82.17,1.12%
2024-11-16,DISPLAY-Remarketing,Paused,INR,568.11,37.13,1.13%
2024-11-16,TOF - Display New Customer,Paused,INR,322.70,25.69,0.79%
2024-11-17,Brand-Search,Eligible,INR,2242.53,11992.16,32.62%
2024-11-17,Pmax_Rings,Paused,INR,9285.08,142.36,0.83%
2024-11-17,Pmax_Earrings,Paused,INR,3597.26,188.61,1.55%
2024-11-17,BOF-YT-ALL PRODUCTS,Removed,INR,616.70,21.14,6.31%
2024-11-17,Pmax_necklaces,Paused,INR,1973.16,105.43,1.10%
